"id","id_veh","fecha_ing","costo_mo","kilometraje","pre_repu","det_repar","des_repu"
"28","26","2012-05-18","450","162484","360","cambio manguera de agua","manguera de agua y liquido refrigerante"
"29","27","2012-05-18","4500","140081","7450","motor","rectificadora (4600),tapa cilindros, juego juntas, retenes, aceite y filtros, bujias"
"30","28","2012-05-18","200","85422","480","cambio de bujias y cables","juego cables, bujias, diagnostico."
"31","29","2012-05-18","1500","164064","1005","cambio reten de bancada, correa de distribucion","correa distribucion,reten leva, fuelle semieje, reten bancada, filtro aceite, 5 lt aceite, ruleman rueda delantera"
"32","30","2012-05-28","800","86215","1495","embrague","kit embrague, crapodina, bulbo marcha atras"
"33","31","2012-05-28","300","246118","538","cambio aceite y filtros","filtro aceite, filtro aire, 5 lts aceite, abrazaderas, lamparas, filtro comb"
"34","30","2012-05-28","200","68007","270","cambio bomba embrague","abrazadera, bomba embrague"
"35","32","2012-05-28","250","145517","315","servicio","filtro aire, filtro aceite, filtro nafta, 4 lts. aceite"
"36","33","2012-05-28","450","143376","1100","parrilla de suspension, polea","parrilla suspension, polea"
"37","34","2012-05-28","250","145190","380","frenos traseros","2 cilindros freno, rectificacion campana"
"38","35","2012-05-28","150","64422","479","servicio","filtro aceite, filtro combustible, filtro aire, 5 lts aceite"
"39","36","2012-05-28","50","59884","280","cambio aceite y filtro","filtro aceite, 5 lts aceite"
"40","37","2012-06-06","4500","40412","4860","motor completo","rectificadora, 5 lts aceite, selector cambios"
"41","38","2012-06-06","350","108973","545","bobina encendido","bobina enc, palanca capot, lamp"
"42","39","2012-06-06","250","40610","670","servicio completo","filtro comb, filtro aire, filtro aceite, 5 lts aceite semi"
"43","40","2012-06-06","250","130063","760","cambio bobina encendido y 4 bujias.","diagnostico, bobina encendido, 4 bujias."
"44","41","2012-06-06","350","59102","840","cambio termostato","pipeta porta termostato, termostato, refrigerante."
"45","42","2012-06-06","200","36361","510","servicio rotacion y balanceo","filtro aceite, filtro de combustible, 7lts aceite. "
"46","43","2012-06-06","450","72866","1450","cambio bujias y cables","juego de cables, sensor leva, 4 bujias, diagnostico"
"47","44","2012-06-06","500","121591","1255","servicio completo","filtro aceite, filtro aire, filtro combustible, 7 lts aceite, juego pastillas, refrigerante"
"48","21","2012-06-06","800","145479","1450","cambio amortiguadores","2 amortiguadores, 2 grasa, ruleman derecho"
"49","31","2012-06-06","700","247321","1565","cambio reten de distribucion, bomba de agua y correa alternador","reten de distribucion, bomba de agua y correa alternador"
"50","46","2012-06-06","250","165829","1050","servicio","filtro aire, filtro combustible, filtro aceite, 5 lts aceite, reparacion puertas"
"51","47","2012-06-06","400","111479","940","cambio sensor de leva","diagnostico, sensor de leva"
"52","48","2012-06-06","500","155819","2420","cambio amortiguadores","amortiguadores delanteros, fuelles amortiguador, bieleta, alineacion"
"53","49","2012-06-06","500","69377","590","cambio correa distribucion","tensor alternador, correa distribucion, correa alternador"
"54","50","2012-06-06","250","50992","0","reemplazo de cuerpo y termostato (provistos)","provistos"
"55","51","2012-06-06","400","62345","40","bajar tanque combustible por reemplazo de manguera respiradero","manguera respiradero"
"56","2","2012-06-07","1000001","3001","11111111","ninguno, cada dia anda mejor","ninguno"
"57","52","2012-06-13","400","107730","853","servicio,alineacion","alineacion, bieleta, precap, filtro combustible, filtro aceite, filtro aire, 5 lts aceite"
"58","53","2012-06-13","500","97687","850","reparacion motor arranque, cambio bujias y cables, tapa distribuidor y rotor.","bulbo temp, juego de cables, 4 bujias, tapa distribuidor, rotor"
"59","54","2012-06-13","300","107081","620","cambio bobina encendido y 4 bujias","diagnostico, bobina de encendido, 4 bujias"
"60","55","2012-06-13","350","311872","180","cambio flexible comp","flexible comp"
"61","56","2012-06-13","200","39612","450","servicio, rotacion y balanceo","filtro aire, filtro aceite, 4 lts elf, 1 h1, balanceo"
"62","57","2012-06-13","250","52398","220","cambio manguera","manguera, refrigerante"
"63","58","2012-06-13","250","135096","478","servicio, balanceo y rotacion","filtro aire, filtro aceite, 5 lts aceite, lampara baja y posicion, balanceo y rotacion"
"64","59","2012-06-13","250","46713","425","servicio","filtro aire, filtro comb, filtro aceite, 5 lts aceite"
"65","60","2012-06-13","250","103494","500","cambio valvula marcha lenta","valvula marcha lenta"
"66","61","2012-06-13","250","77649","0","limpieza circuito refrigerante","ninguno"
"67","62","2012-06-21","500","188274","469","cambio flexibles traseros,","3 flexibles traseros,  1 lt liquido de freno"
"68","63","2012-06-21","1500","158349","3280","reparacion de tapa de cilindros","junta tapa, bulones, retenes leva, correa distribucion, correa alternador, tensor fijo, tensor movil, rectificadora"
"69","64","2012-06-21","0","56010","418","cambio aceite y filtro","filtro aceite, 5 lts semisintetico"
"70","65","2012-06-21","500","94418","250","diagnostico","diagnostico"
"71","66","2012-06-21","200","22587","160","correa alternador","correa alternador"
"72","35","2012-06-21","500","66871","440","cambio bomba de agua","bomba de agua"
"73","67","2012-06-29","300","101172","780","diagnostico, cambio bobina de encendido","bobina encendido"
"74","22","2012-06-29","500","161645","1010","limpieza circuito, cambio deposito y porta bomba de agua","deposito, porta bomba de agua"
"75","68","2012-06-29","250","47330","280","cambio taco motor","taco motor original"
"76","28","2012-06-29","320","86877","360","cambio de cilindros y cintas traseras","2 cilindros, rectificar y pegar cintas traseras"
"77","69","2012-06-29","450","132539","750","cambio bomba embrague","bomba de embrague"
"78","70","2012-06-29","2200","109104","2140","lavado completo, reparacion tapa cil, junta tapa cil, reten leva junta tapa val, junta mul esp, refr","junta tapa cil, reten leva junta tapa val, junta mul esp, refrigerante, tapa llenado de aceite."
"79","71","2012-06-29","350","44585","340","bomba de agua","bomba de agua"
"80","72","2012-06-29","250","83463","623","servicio","filtro aire, filtro aceite, 5 lts aceite, 1 lampara baja, balanceo rotacion, limpieza circuito"
"81","73","2012-06-29","250","41400","343","servicio","lampara, filtro aire, filtro aceite, 3 lts aceite"
"82","74","2012-06-29","450","136815","905","discos de freno y juego pastillas","2 discos de freno y 1 juego pastillas"
"83","75","2012-06-29","300","112460","845","limpieza circuito y refrigerante, deposito liquido, escobilla trasera, servicio","refrigerante, escobilla, deposito liquido, filtro aire, filtro combustible, filtro aceite, 5 lts aceite, 1 junta de tapa de valvulas."
"84","76","2012-06-29","300","19447","290","servicio","filtros provistos, 1 juego de pastillas"
"85","77","2012-06-29","500","61962","380","cambio de correa de distribucion y de alternador","correa distribucion, correa alternador"
"86","78","2012-06-29","400","83101","380","servicio","filtro aceite, 5 lts aceite"
"87","79","2012-06-29","250","10331","424","servicio, rotacion y balanceo","filtro de aceite, filtro de aire, 5 lts. de aceite"
"88","319","2012-06-29","1000","220014","3300","cambio embrague y soldadura especial","kit embrague, crapodina, rectific volante"
"89","81","2012-06-29","200","169909","370","servicio","filtro combustible, filtro aire, filtro aceite, 5 lts aceite"
"90","39","2012-06-29","0","41140","390","cambio sensor stop","sensor stop, diagnostico"
"91","82","2012-06-29","450","160457","70","cambio correas distribucion y alternador","correa alternador"
"92","83","2012-07-05","250","30267","711","serv","filtros aire comb aceite y aceite motor"
"93","84","2012-07-05","600","182934","1046","reemplazo rotula der extremo der precap fuelle cremallera  pastillas 
freno  alineaccion","extremo precap rotula fuelles pastillas"
"94","85","2012-07-05","250","231172","867","reemplazo aceite y filtros ","filtros aire aceite comb aceite de motor "
"96","87","2012-07-11","300","01165","130","reparacion puerta del izq. reemplazo de bujias","bujias"
"97","88","2012-07-10","150","88987","240","reemplazo de pastillas freno"," pastillas de freno "
"98","89","2012-07-10","500","82163","318","reemplazo corre alt. junta tapa val. reten semieje  junta pipeta 
termostato","crrea alt. junta tapa val .y pipeta reten semieje "
"99","90","2012-07-10","350","38407","476","reemplazo filtros naf. aceite aire y aceite motor junta tapa val.","todos los filtros junta tapa val."
"100","86","2012-07-10","400","102723","0","limpieza valvula marcha lenta","ninguno"
"101","71","2012-07-10","100","46484","615","servicio","filtros aire, combustible y aceite, 5lts aceite, lampara de baja"
"102","91","2012-07-10","250","22339","250","serv ","filtros de polen aire eceite y aceite de motor"
"103","92","2012-07-10","450","76519","381","reemplazo todos los filtros junta tapa val.","filtros aire aceite junta tapa val. aceite motor"
"104","93","2012-07-12","350","43125","218","reemplazo de bujias filtro naf.","filt. comb. bujias"
"105","94","2012-07-12","700","169958","490","correa dist.tensor  mang. agua","correa dist tensor dist mang agua"
"106","96","2012-07-12","300","80569","270","reemplazo orrig de pipeta de agua porta termos.  limp. circ. 
ref.
","orrig "
"107","97","2012-07-13","350","133486","198","reemplazo pastillas freno","pastillas freno"
"108","98","2012-07-13","250","44342","595","reemplazo filtros y aceite","filtros aire aceite aceite motor"
"109","99","2012-07-13","600","134833",".....","reparacion cable cortado","...."
"110","100","2012-07-13","1100","193926","0","reemplazo de bomba y crapodina","provistos"
"111","101","2012-07-13","200","79381","505","cambio bujias diagnostico","bujias, oring pipeta, refrig"
"112","58","2012-07-13","250","137956","468","cambio bulbo, termostato","bulbo temp, cuerpo termostato, termostato, refrig."
"113","102","2012-07-13","250","76533","230","cambio termostato","junta pipeta, termostato, refrigerante"
"114","103","2012-07-13","700","110207","0","reemplazo embrague completo","provistos"
"115","3","2012-07-15","xxxx","129000","300","remplazo del rodamiento rueda trasera derecha y cambio de bÃºjias","un ruleman SKF Y 4 bÃºjias NGK "
"116","3","2012-07-15","XXX","129000","300","REEMPLAZO DEL RULEMAN Y CAMBIO DE BUJIAS ",
"117","105","2012-07-18","450","57946","550","reemplazo kit dist. amort. porton tras regular val.","kit. dist amort. junta tapa val. reten dist."
"118","106","2012-07-18","250","46532","220","reemplzo vavula de calefaccion","una valvula de calefaccion"
"119","84","2012-07-18","200","183175","250","reemplazo de canles y bujias","bujias y cables"
"120","107","2012-07-18","300","33661","0","xxx","xxx"
"121","108","2012-07-18","550","171140","355","reemplazo correa distribucion tensor y correa alternador","kit dist."
"122","109","2012-07-18","250","30944","693","sevicio","filtros ,aire comb.y aceite pastillas de freno ,aceite de motor"
"123","111","2012-07-18","300","176143","640","servicio y limpieza de circuito ,refrijerante","filtro de aceite y aceite de motor refrijerante"
"124","113","2012-07-23","450","84013","1350","reemplazo amortiguador tras serv.","amort. filtros aire comb. aceite y aceite motor"
"125","114","2012-07-23","500","22984","0","rremplazo  correa dist.","provistos"
"126","115","2012-07-23","200","50064","210","reemplazo de termost.  ","termost. y refrig."
"127","116","2012-07-23","350","8462","400","reemplazo de cazoleta izq. criquera emb. perno de pedalera emb.","perno criquera cazoleta cable emb. "
"128","118","2012-07-23","160","68667","140","rremplzo de bujias","bujias"
"129","22","2012-08-11","500","163657","623","remplzo de cruzeta cardan flexible de salida bomba de direccion ","flexible liquido direc. cruzeta cardan"
"130","3","2012-07-25","xxx","130000","xxx","reemplazo de boba de agua","una bomba de agua "
"131","119","2012-07-25","250","25624","433","cambio de aceite ,filtros de aire de aceite ,rotacion y balanceo y 5 litros de aceite ","filtros de aire y de aceite y aceite "
"132","120","2012-07-25","250","25026","650","balanceo y rotacion ,cambio de pastillas ","juego de pastillas,filtro de aire ,filtro de aceite,5 litros de aceite"
"133","121","2012-07-25","250","108771","xxx","servicio completo","provistos"
"134","122","2012-07-26","500","156537","908","servicio, cambio tapones agua, deposito de agua, limpieza circuito refrigerante","filtro aire, filtro combustible, filtro aceite, deposito agua, tapones agua, refrigerante, 5 lts aceite"
"135","123","2012-07-26","350","128108","757","servicio, pastillas freno, cable embrague","filtros aire, aceite y combustible, 5 lts aceite, juego pastillas, cable de embrague"
"136","124","2012-07-26","250","204118","250","arreglo arranque, revision rotula y bieleta derecha","bendix, juego carbones"
"137","125","2012-07-26","250","90944","650","servicio","filtros comb, aire y aceite, 5 lts. aceite"
"138","126","2012-07-26","250","19762","574","servicio, balanceo","filtros aire, aceite, 5lts aceite, refrigerante"
"139","127","2012-07-27","150","164495","745","servicio","filtros aire, combustible, aceite, 5 lts. aceite"
"140","128","2012-07-27","2000","239960","0","bujes suspension, correctores, alineacion y balanceo","6 bujes suspension, 2 correctores"
"141","129","2012-07-27","700","220000","0","reemplazo amortiguadores, alineacion","4 amortiguadores provistos, alineacion"
"142","130","2012-07-27","1200","192227","169","reemplazo embrague, tacos revotes","tacos revote, reten diferencial, embrague provisto"
"143","131","2012-07-27","1000","653023","2270","alineacion, reparacion cerradura puertas, copia de llave, tecla aire acondicionado, bulbo marcha atr","reparacion cerradura puertas, copia de llave, tecla aire acondicionado, bulbo marcha atras, pastilla freno, reparacion servo freno"
"144","132","2012-07-27","850","477382","940","reemplazo fuelles semieje del izq y grasa, brazo rotulas, reparacion pedalera embrague","2 brazos rotulas"
"145","133","2012-07-30","300","164174","440","cambio pastillas frenos, arreglo cerradura","juego pastillas frenos, reparacion cerradura"
"146","134","2012-07-30","1800","315961","6275","armado tapa cilindros, reparacion tren delantero, alineacion","radiador aux, tapa cilinidros y bal, junta tapa cilindros, tapa agua, pipetas agua, juego bulones tapa, 8 botadores, manguera agua, refrig, cosoleta, parrilla sup der, fuelle semieje, extremo dir"
"147","135","2012-07-30","250","315604","906","servicio","filtros aire, comb, aceite, 7 lts aceite"
"148","136","2012-07-30","1200","302084","4577","cambio caja de cambio y servicio","recambio caja de cambio, 3 lts grasa caja, filtros aire, comb y aceite, 5 lts aceite"
"149","137","2012-07-30","250","388622","795","servicio","filtros combustible, aire y aceite, 7 lts aceite"
"150","132","2012-07-30","600","480723","0","casoleta y tapa dep","casoleta y tapa dep"
"151","138","2012-07-30","500","110440","670","frenos traseros, juego pastillas y palanca freno de mano","rect y sint frenos traseros, palanca freno de mano, juego pastillas"
"152","139","2012-07-30","1400","218998","2130","reparacion butaca, servicio, frenos tras y del","reparacion butaca, filtros aire, aceite y comb, 5 lts aceite, 1 caja termostato, refrigerante, 2 escobillas limpiapara, 2 bujes estabilizadora, 1 juego past, rectif y pegar cintas, 1 lampara baja der,"
"153","134","2012-07-31","300","316185","330","reparacion motor arranque","automatico, bendix"
"154","140","2012-07-31","12600","157193","0","motor completo","-"
"155","140","2012-07-31","0","157230","728","reparacion tapizado, de butaca y cambio de bujes barra estabilizadora","2 bujes barra estabilizadora"
"156","141","2012-07-31","800","191235","1140","sacar catalizador, cambio junta carter, reparacion bomba aceite, servicio","junta carter, reparacion bomba aceite, 5 lts aceite, 2 lamp stop, 2 de posicion"
"157","132","2012-07-31","150","482190","80","cable embrague","cable embrague"
"158","142","2012-07-31","700","185524","465","completar grasa caja, 1 fuelle, cambio correa distribucion y correa alternador","1 lts grasa caja, 1 fuelle, correa distribucion, correa alternador"
"159","130","2012-07-31","300","204545","415","reemplazo manguera venteo, junta tapa valvulas y amortiguador capot","manguera venteo, junta tapa valvulas, 2 amortig. capot"
"160","143","2012-07-31","1200","325467","2435","reparar motor lavaparabrisas, reemplazo crapodina embrague, bomba embrague, junta tapa valvulas","crapodina embrague, bomba embrague, 2 mangueras, 1 flexible, liquido direc,  liquido embrague, 1 junta tapa valvulas"
"161","144","2012-07-31","1000","272585","2753","reparacion electrica, cambio correas alter y distrib, reparacion motor de arranque, cambio pipeta ag","reparacion electrica, correa distr, correa alt, tensor distribucion, tensor automatico, bendiz, automatico, juego carbones, pipeta agua, refrigerante"
"162","145","2012-07-31","1000","211017","2989","lavado motor, cambio correas alter y distr, reparacion copa semieje, reemplazo filtro aire completo","correas alter y distr, manguera val ant retorno, filtros aire, aceite, comb, 5 lts aceite, pipeta agua salida bomba, filtro aire completo"
"163","143","2012-07-31","0","325567","858","servicio","filtros aire, comb y aceite, 7 lts aceite"
"164","146","2012-07-31","200","104334","550","servicio","filtros aire, comb y aceite, 5 lts aceite, 1 tapon, 1 inserto"
"165","147","2012-07-31","1300","187264","3045","cambio correa dist y alter, cambio bujias, soporte alter, servicio","1 varilla aceite, 4 bujias, correa dist, correa alter, soporte aa, tensor fijo, tensor movil, filtros aire, comb y aceite, 5 lts aceite"
"166","130","2012-07-31","400","209600","550","cambio bomba freno, se reemplazo todo el liquido de freno de las 4 ruedas","bomba de freno, 1 lt liquido de freno"
"167","144","2012-07-31","350","274577","0","cambio motor calefaccion","cambio motor calefaccion"
"168","148","2012-07-31","1200","51849","2591","cambio correas alt y dist, servicio, cambio amortiguadores traseros, cambio pastillas de freno, camb","correas alt y dist, tensor orig, filtros comb, aire y aceite, 5 lts aceite, 2 amortig tras, 1 juego de pastillas, 2 bujes estabil, 2 lamp posicion y stop, 4 bujias"
"169","52","2012-07-31","600","10716","740","cambio de bomba de agua y estira correa ","bomba de agua y estira de correa de dist. con refigerante "
"170","149","2012-07-31","800","70089","1180","cambio de aceite con sus filtros aceite,combustible y aire,reemplazo de correa de ditr y correa elas","filtro de aceite , aire ,y combustible,correas de ditr. y alternador, 5 lts. de aceite"
"171","150","2012-07-31","200","43999","290","reemplazo de 4 bujias incandecentess","4 bujias incandecentes"
"172","151","2012-07-31","120","189435","85","reemplazo de cable de embrague","cable de embrague"
"173","152","2012-08-01","260","185869","673","servicio, balanceo","filtros comb, aire, aceite, 5 lts aceite, 1 juego pastillas"
"174","124","2012-08-03","200","204431","240","reemplazo rotula derecha y vieleta barra estabilizadora","rotula vieleta"
"175","153","2012-08-06","600","92742","826","reemplazo correa de distr. y correa de alter. aceite y filtro","1 correa de distri. 1 correa de alter. 1 correa de aire acondicionado,1 tensor fijo ,1 tensor movil 1 filtro de aceite , 4litros de aceite"
"176","154","2012-08-06","450","172030","390","remplazo de bujes de parrilla ","4 bujes de parrilla"
"177","155","2012-08-06","300","63629","150","reemplzo de 4 bujias","4 bujias"
"178","156","2012-08-06","450","113981","0","reemplazo de cintas de frenos traseros y retificar campanas","cintas de freno"
"179","157","2012-08-06","250","70710","568","cambio de pastillas de freno,cmbio de aceite y filtros de aceite,aire","pastillas de freno,filtro de aire,aceite y 5 de aceite "
"180","158","2012-08-06","1000","160371","718","reemplazo de turbo cambio de aceite y filtro y filtro de aire","juntas 1 turbo 5 litros de aceite"
"181","124","2012-08-06","200","204118","240","reemplazo de bieleta y rotula","bieleta y rotula"
"182","159","2012-08-06","250","99721","799","servicio completo","kit de lamparas filtro de aire y aceite ,tapa de depocito de agua 5 litros de aceite "
"183","160","2012-08-06","250","20368","285","cambio de aceite y filtro control de 1 anio ","1 filtro de aceite y 5 litros de aceite"
"184","161","2012-08-06","430","132067","665","reemplazo cuerpo de termostato,bulbo de temperatura y diagnostico","cuerpo de termostato,bulbo de temperatura y termostato una junta tapa de valvula"
"185","162","2012-08-06","7500","240102","0","motor completo","provistos por cliente"
"186","84","2012-08-07","850","183789","1630","reparacion caja cambios","media carcasa caja retenes todos horquilla 1 y 2  grasa caja 
taco caja "
"187","163","2012-08-09","250","103422","580","reemplazo aceite y filtros aire comb. aceite",
"188","164","2012-08-09","250","29298","416","reemplazo aceite filtros aire comb. aceite","reemplazo aceite filtros aire comb. aceite"
"189","166","2012-08-09","250","61500","00","no se reparo","......"
"190","41","2012-08-09","250","39102","378","reemplazo aceite filtros aire comb. aceite","reemplazo aceite filtros aire comb. aceite"
"191","167","2012-08-09","300","63520","150","reemplazo de carbones de motor de arranque","carbones"
"192","168","2012-08-09","150","55550","350","reemplazo aceite y filtros.aire y aceite","reemplazo aceite y filtros.aire y aceite"
"193","84","2012-08-09","850","183789","1630","reemplazo de carcasa caja de cambiosfuelles aceite triceta","reemplazo de carcasa caja de cambiosfuelles aceite triceta"
"194","31","2012-08-10","600","250535","0","reparacion de cables de sensor ckp","cables"
"195","169","2012-08-10","1200","289979","2985","serv. comp. reemplazo de flexible dirc.masa de rueda del. 
precap derecho alineacion","precap masa rueda flexible liquido direc. tensor correa poli v 
filtros aire comb. aceite aceite motor"
"196","170","2012-08-10","900","60658","900","reemplazo de correa dist. alt. bujias filtros aceite","correa dist. alt. bujias lamp. aceite de motor filtros aire comb.
aceite"
"197","171","2012-08-10","250","54259","200","reemplazo cilindro freno tras ","dos cilindros freno tras "
"198","172","2012-08-13","350","47244","890","cambio de filtro de aceite,de aire y de combustible ","filtro de aceite,de aire y de combustible con 7 litros de aceite"
"199","173","2012-08-13","950","38714","1240","bajar caja de velocidad y reemplazo de kit de embrague , controlar alineacion","kit de embrague"
"200","174","2012-08-13","250","85291","350","reemplazo de taco de caja de cambio","taco de caja"
"201","95","2012-08-15","330","185869","603","reemplazo aceite y filtros aire,comb., aceite balanceo ruedas pastillas freno"," aceite y filtros aire,comb., aceite  pastillas freno"
"202","95","2012-08-15","1380","318822","2369","reemplazo de amortiguadores del. y tras. cazoletas taco revote tecla
forzador escobillas manija alz","amortiguadores del. y tras. cazoletas taco revote tecla
forzador escobillas manija alza crist.lamp. h4 recistencia forzador palanca de cambios  "
"203","95","2012-08-15","1750","321170","2420","reemplazo aceite y filtro 4 bujes de parrillas susp.extremo rotula bujes est. ruleman de tensor corr","aceite y filtro 4 bujes de parrillas susp.extremo rotula bujes est. reulman de tensor correa dist. correa alt. aire acond.
amortiguadores provistos por coarco "
"204","95","2012-08-15","800","598863","1140","bajar tanque de comb. por entrada de aire al circuito comb. y reemplazo aceite y filtros aire, comb.","aceite y filtros aire, comb., aceite mangueras comb. "
"205","175","2012-08-15","1000","380147","2410","REEMPLAZO CORREA DIST., ALT, TENSOR DIST.,ALTERNADOR RUEDA FIJA BUJIAS INCAND. BUJES DE BARRA ESTB. ","CORREA DIST., ALT, TENSOR DIST.,ALTERNADOR RUEDA FIJA BUJIAS INCAND. BUJES DE BARRA ESTB. MANGUERA DE RETORNO CHAPON CUBRE CARTER"
"206","34","2012-08-15","400","151799","873","rremplazo aceite y filtros aire comb. aceite homocinetica izquierda rocion y balanceo"," aceite y filtros aire comb. aceite homocinetica izquierda"
"207","176","2012-08-15","250","28980","400","reemplazo aceite y filtros aire , comb. aceite ","aceite y filtros aire , comb. aceite "
"208","177","2012-08-18","2800","271033","1800","reemplazo de placa disco crapodina emb. desarmar caja de velocidad y caja de tranferencia para repar","placa disco crapodina y volante de emb.retenes de caja vel. , tranf. eje acanalado eje de entrada de tranf. aceite de cajas bujes engranaje de marcha atras "
"209","144","2012-08-18","650","277301","1060","reemplazo de radiador pastillas de freno ","radiador pastillas refrig"
"210","137","2012-08-18","900","598863","1180","reemplazo de aceite y filtros filtros aire comb. aceite bajar tanque de comb. reemplazo de mang. com","aceite y filtros filtros aire comb. aceite."
"211","134","2012-08-18","1380","318822","2509","reemplazo amort.del. tras. casoleta taco rebote tecla forsador escobillas manija alza cristal cable ","amort.del. tras. casoleta taco rebote tecla forsador escobillas manija alza cristal cable capot alineacion lam h4 resistencia forzador palanca cambios "
"212","135","2012-08-18","1750","321170","2355","reemplazo de aceite y filtro 4 bujes de parrilla extremo rotula bujes est. correa dist. alternador a","aceite y filtro 4 bujes de parrilla extremo rotula bujes est. correa dist. alternador aire acond. lamp stop ruleman de tensor"
"213","130","2012-08-22","1200","217145","1840","reemplazo de  discos de freno del. rulemanes del colocacion de 
faros anti niebla con intalacion"," discos de freno del. rulemanes grampas de cardan"
"214","95","2012-08-22","400","111612","170","colocar termostato ","termostato, refrigerante y reparaciÃ³n de caÃ±o de retorno de combustible "
"215","178","2012-08-22","250","51738","380","reemplazo de pipeta porta termostato ","una pipeta porta termostato, una t de aagua y rifigerante"
"216","179","2012-08-22","500","86469","2283","sevcio completo,reemplazo juegos de pastillas delanteras y traseras ","2 juegos de pastillas delanteras y traseras filtros de aire,combustible,y aceite 5 lts. de full economics 5 w 30"
"217","180","2012-08-22","900","116642","2108","reemplazo correa de distribuicion y poli V tensor automÃ¡tico ,cambio de junta de tapa de vÃ¡lvula t","correa de distribuicion y poli V tensor automÃ¡tico junta de tapa de vÃ¡lvula tensor fijo polea de ciguenial taco de motor y tapa de distribuciÃ³n 5 litros de aceite filtro de aceite de aire y combust"
"218","181","2012-08-15","800","126829","1543","servicio completo,reemplazo de amortiguadores traseros y cazoleta delantera derecha reemplazo de dos","amortiguadores traseros y cazoleta delantera derecha dos cilindros de frenos y cintas,filtros de aire y aceite y 5 lts. de aceite"
"219","182","2012-08-22","150","96022","500","reemplazo de correa de alternador y tensor fijo ","correa de alternador y tensor fijo "
"220","183","2012-08-14","350","39683","290","servicio completo,","filtro de aire ,aceite y 4 lts. de aceite"
"221","184","2012-08-17","250","107142","648","servicio completo","filtros de combustible ,aire y aceite con 7 lts de aceite "
"222","185","2012-08-16","400","59046","515","reemplazo de bomba de combustible y filtro ","bomba de combustible y filtro "
"223","186","2012-08-15","300","44471","290","servicio, rotaciÃ³n y balanceo","filtros de aire y aceite"
"224","187","2012-08-15","600","93941","280","reemplazo de correa de distribucion y  termostasto","correa de distribucion y  termostasto con refrigerante"
"225","188","2012-08-16","400","116920","1048","serviio,cambio de correa de alternador y manguera de interculer","filtros de combustible,de aire y aceite 5 lts. de aceite un tensor una correa de alternador y una manguera de interculer "
"226","189","2012-08-23","350","63645","550","reemplazo de deposito de agua limpieza circuito refrigerante
reten semieje ","deposito de agua  reten semieje "
